Word,Adjective
plaintive,mournful; melancholy; sorrowful
pine,waste away through sorrow or illness
ostensible,seeming appearing as such professed
piquant,agreeably pungent; stimulating
tout,"To solicit customers, votes, or patronage"
tamp,tap or drive down by repeated light blows
canvass,discuss thoroughly sort of touting
minatory,menacing; threatening
slate,king of blue-grey stone propose criticize
stipple,paint with dots
plumb,get to the root of
stanch,to stop the flow of a fluid
fledged,able to fly trained experienced
demur,to hesitate; raise objections
aspersion,slander
deferential,showing respect
sundry,various miscellaneous; separate
blatant,noisy and rough
consternation,surprise and fear; dismay
cadge,to beg; to get by begging
brummagem,Cheap and showy
spurn,have nothing to do reject or refuse
purvey,provide supply
bedizen,to adorn especially in a cheap showy manner
desuetude,cessation of use disuse
obstreperous,noisy; loud
suppliant,asking humbly beseeching
countenance,to favor or approve of
presumption,arrogance
belabor,beat hard
redoubtable,formidable causing fear
balk,obstacle purposely to get on the way of
supercilious,disdainful characterized by haughty scorn
stygian,hence; dark; gloomy
virago,a loud domineering woman a scold or nag
orison,prayer
trite,not new
preponderance,greatness in number strength weight
reprobate,person hardened in sin; one devoid of decency
hermetic,sealed by fusion
expiation,ending; expiring
rebus,puzzle in which pictures stand for words
vagary,strange act or idea
imperviousness,not permitting penetration or passage; impenetrable
trencherman,person who eats a lot
hew,make by hard work cut (by striking)
proscribe,denounce as dangerous
sententious,short and pithy full of maxims/proverbs
portent,omen marvelous threatening
doggerel,trivial poorly constructed verse
dissemble,speak or behave so as to hide something (in mind)
venal,ready to do something dishonest
picaresque,involving clever rogues or adventurers
splenetic,bad-tempered;irritable
ferret,discover by searching search
petrified,taken away power (to think feel act)
duress,threats to compel somebody
peripatetic,wandering
profligacy,shameless immorality
imprecation,an invocation of evil a curse
succor,assistance relief in time of distress
lithe,bending; twisting
mettlesome,courageous; high-spirited
froward,intractable not willing to yield or comply stubborn
travesty,parody/imitation
fulsome,disgusting offensive due to excessiveness
puissance,strength
acarpous,effete no longer fertile; worn out
pied,of mixed colors
pileous,Covered with hair
effete,infertile; worn out; weak
sobriquet,nickname
wend,to go proceed
edacious,voracious; devouring
constrain,compel
fulmination,bitter protest
slake,to assuage to satisfy allay
nibble,show some inclination to accept (an offer)
pique,hurt the pride or self-respect stir (curiosity)
ponderous,heavy; bulky; dull
brook,to tolerate; endure
detraction,slandering verbal attack aspersion
salutary,remedial wholesome causing improvement
welter,turmoil a bewildering jumble
repast,meal
cavalcade,a procession
nostrum,a quack remedy; an untested cure
nonplused,greatly surprised
pith,essential part force soft liquid substance
refulgent,shining; brilliant
stint,to be thrifty to set limits
suborn,induce by bribery or something to commit perjury
expatiate,to roam wander freely
recondite,little known; abstruse
garble,make unfair selection from facts
palaver,To flatter; to cajole
fustian,bombastic
mince,pronounce or speak affectedly euphemize
scurvy,mean; contemptible
epithet,adjective
sedulous,persevering
prolix,tiring because too long
importune,beg urgently solicit (of a prostitute)
bilge,bulge; the protuberance of a cask
involute,complex
abraid,to awaken or rouse
sere,make hard and without feeling
droll,jesting
descry,catch sight of see something in the distance
brazen,made of brass
repine,at be discontented with
limn,paint portray
wag,merry person
coruscate,sparkle
lucubrate,write in scholarly fashion
crass,without refinement or sensitivity; gross.
consequential,pompous self important
foment,put something warm (to lessen the pain)
recreancy,cowardice a cowardly giving up
testiness,witness/evidence
arrant,in the highest degree
quibble,try to avoid by sophistication
lam,a hasty escape; flight.
Archaic,marked by the characteristics of an earlier period
imbibe,to consume (liquids) by drinking; drink
repose,rest;sleep
perfunctorily,performed merely as a routine duty; hasty and superficial
impasse,a position or situation from which there is no escape; deadlock
pulchritudinous,physically beautiful; comely.
eupeptic,good digestion
Chicane,deception
brobdingnagian,gigantic
Exodus,a going out; a departure
Rejoinder,response
Furtive,"taken,done"
